Isolates	CIP MIC		TOB MIC		COL MIC		CAZ MIC		MEM MIC						
BK1496/1	0.125	S	0.5	S	2	S	1	S	0.5	S					
BK2061/1	4	R	1	S	2	S	2	S	0.25	S					
CH2472	0.5	S	4	S	4	I	32	R	4	I					
CH2500	16	R	1	S	1	S	8	S	64	R					
CH2502	2	I	4	S	2	S	16	I	64	R					
CH2522	2	I	2	S	4	I	32	R	4	I					
CH2527	0.5	S	2	S	2	S	8	S	32	R					
CH2537	2	I	2	S	4	I	64	R	16	R					
CH2543	16	R	1024	R	2	S	8	S	64	R					
CH2560	16	R	1024	R	2	S	128	R	1	S					
CH2582	16	R	1	S	2	S	32	R	8	R					
CH2591	16	R	1024	R	2	S	256	R	8	R					
CH2597	2	I	1	S	2	S	16	I	1	S					
CH2598	0.25	S	1	S	2	S	2	S	8	R					
CH2608	16	R	1024	R	4	I	32	R	8	R					
CH2623	32	R	1024	R	4	I	16	I	32	R					
CH2639	32	R	1024	R	2	S	128	R	8	R					
CH2657	32	R	1024	R	2	S	16	I	64	R					
CH2658	32	R	2	S	2	S	32	R	16	R					
CH2660	2	I	1	S	2	S	128	R	16	R					
CH2665	128	R	512	R	2	S	512	R	64	R					
CH2671	0.5	S	4	S	2	S	32	R	64	R					
CH2672	32	R	0.25	S	2	S	4	S	16	R					
CH2674	64	R	256	R	2	S	16	I	16	R					
CH2675	32	R	1024	R	2	S	16	I	128	R					
CH2677	64	R	1	S	2	S	16	I	16	R					
CH2678	64	R	2	S	4	I	16	I	<=0.125	S					
CH2680	1	S	1	S	2	S	16	I	1	S					
CH2682	0.5	S	2	S	2	S	16	I	32	R					
CH2685	0.5	S	2	S	2	S	8	S	16	R					
CH2687	16	R	1	S	2	S	4	S	16	R					
CH2690	1	S	2	S	2	S	8	S	1	S					
CH2691	0.5	S	2	S	2	S	16	I	4	I					
CH2698	32	R	256	R	2	S	8	S	32	R					
CH2699	16	R	64	R	4	I	16	I	64	R					
CH2705	32	R	512	R	4	I	1024	R	32	R					
CH2706	32	R	256	R	2	S	512	R	256	R					
CH2707	0.5	S	1024	R	2	S	512	R	8	R					
CH2713	1	S	1	S	2	S	8	S	16	R					
CH2718	0.25	S	1	S	4	I	2	S	4	I					
CH2724	0.125	S	2	S	2	S	2	S	8	R					
CH2730	0.125	S	1	S	2	S	4	S	8	R					
CH2734	4	R	2	S	1	S	16	I	0.25	S					
CH2735	8	R	0.25	S	2	S	2	S	8	R					
CH2746	32	R	512	R	0.5	S	16	I	32	R					
CH2747	0.5	S	0.5	S	2	S	4	S	32	R					
CH2748	32	R	512	R	2	S	32	R	16	R					
CH2756	0.5	S	2	S	4	I	2	S	2	S					
CH2764	0.5	S	2	S	2	S	64	R	0.5	S					
CH2804	4	R	2	S	2	S	64	R	32	R					
CH2824	0.5	S	1	S	2	S	8	S	32	R					
CH2829	4	R	2	S	2	S	2	S	2	S					
CH2830	32	R	256	R	2	S	4	S	8	R					
CH2848	1	S	2	S	2	S	16	I	2	S					
CH2860	8	R	1	S	2	S	128	R	32	R					
CH2875	2	I	32	R	2	S	8	S	64	R					
CH2922	1	S	2	S	2	S	16	I	1	S					
CH2939	0.125	S	2	S	2	S	3	S	0.25	S					
CH3173	32	R	1024	R	2	S	128	R	1	S					
CH3177	0.5	S	0.5	S	2	S	4	S	16	R					
CH3290	8	R	32	R	4	I	16	I	16	R					
CH3325	2	I	1	S	2	S	64	R	16	R					
CH3462	0.25	S	1	S	2	S	64	R	32	R					
CH3466	4	R	0.5	S	4	I	16	I	16	R					
CH3484	0.5	S	1	S	2	S	128	R	32	R					
CH3549	4	R	2	S	2	S	16	I	16	R					
CH3563	0.25	S	1	S	4	I	32	R	32	R					
CH3570	64	R	128	R	4	I	32	R	2	S					
CH3606	16	R	4	S	2	S	32	R	64	R					
CH3613	16	R	128	R	2	S	32	R	64	R					
CH3648	16	R	64	R	4	I	128	R	2	S					
CH3797	16	R	2	S	4	I	16	I	64	R					
CH3802	16	R	128	R	2	S	8	S	32	R					
CH3882	4	R	1	S	2	S	8	S	4	I					
CH3906	0.5	S	2	S	2	S	8	S	2	S					
CH4035	16	R	1024	R	4	I	256	R	8	R					
CH4047	0.25	S	1	S	2	S	128	R	1	S					
CH4083	1	S	1	S	1	S	16	I	32	R					
CH4411	16	R	512	R	2	S	128	R	1	S					
CH4418	0.125	S	1	S	2	S	32	R	1	S					
CH4433	16	R	1024	R	2	S	256	R	1	S					
CH4438	8	R	2	S	2	S	32	R	4	I					
CH4443	32	R	1024	R	2	S	128	R	1	S					
CH4446	2	I	2	S	2	S	8	S	4	I					
CH4459	4	R	512	R	4	I	256	R	256	R					
CH4489	0.5	S	1	S	0.5	S	4	S	8	R					
CH4496	2	I	2	S	2	S	2	S	1	S					
CH4507	1	S	2	S	2	S	32	R	8	R					
CH4509	0.125	S	1	S	4	I	2	S	0.25	S					
CH4520	0.5	S	2	S	4	I	64	R	16	R					
CH4528	32	R	2	S	2	S	8	S	8	R					
CH4544	≤ 0.0625	S	0.25	S	0.25	S	128	R	32	R					
CH4548	16	R	1024	R	4	I	128	R	1	S					
CH4549	0.0625	S	2	S	2	S	16	I	16	R					
CH4560	64	R	512	R	2	S	512	R	64	R					
CH4574	1	S	2	S	2	S	32	R	4	I					
CH4584	64	R	8	I	2	S	32	R	16	R					
CH4591	4	R	0.5	S	2	S	2	S	8	R					
CH4602	0.25	S	1	S	2	S	2	S	0.25	S					
CH4634	64	R	2	S	2	S	64	R	128	R					
CH4681	0.125	S	0.25	S	0.5	S	64	R	2	S					
CH4684	1	S	1	S	1	S	16	I	0.5	S					
CH4703	4	R	16	R	1	S	256	R	16	R					
CH4704	0.5	S	2	S	2	S	32	R	8	R					
CH4733	0.5	S	2	S	2	S	32	R	16	R					
CH4745	32	R	1024	R	2	S	64	R	8	R					
CH4755	64	R	0.25	S	2	S	4	S	16	R					
CH4757	1	S	1	S	0.5	S	64	R	64	R					
CH4766	2	I	1	S	2	S	128	R	32	R					
CH4780	32	R	2	S	8	R	64	R	8	R					
CH4785	8	R	2	S	2	S	32	R	32	R					
CH4786	64	R	0.5	S	2	S	16	I	64	R					
CH4840	0.25	S	2	S	2	S	128	R	16	R					
CH4860	64	R	1	S	2	S	4	S	8	R					
CH4862	16	R	1024	R	2	S	16	I	128	R					
CH4877	32	R	256	R	2	S	1024	R	32	R					
CH4878	2	I	2	S	2	S	64	R	16	R					
CH4891	0.5	S	1	S	2	S	8	S	1	S					
CH4914	4	R	0.5	S	8	R	2	S	0.5	S					
CH4916	0.5	S	0.5	S	2	S	64	R	32	R					
CH4976	16	R	2	S	2	S	16	I	4	I					
CH4990	0.5	S	1	S	2	S	16	I	16	R					
CH4992	64	R	1	S	2	S	32	R	8	R					
CH5022	16	R	1024	R	1	S	16	I	128	R					
CH5052	8	R	32	R	2	S	2	S	8	R					
CH5066	0.5	S	1	S	2	S	32	R	1	S					
CH5159	32	R	1024	R	2	S	128	R	1	S					
CH5174	64	R	256	R	2	S	1024	R	128	R					
CH5182	2	I	1	S	1	S	32	R	16	R					
